Player_Name,Position_ID,Shots,Makes,Pass,Accuracy,Personal_Rating,Goals,Assists,Fouls,Yellow_Card,Red_Card,Years_Pro,Team_Value
Jack Peter,3,1.080000,0.500000,53.420000,55.010000,6.220000,12,23,11,1,3,12
Mikhail Egorov,1,1.940000,0.640000,95.700000,84.930000,4.710000,22,3,59,12,1,6
Alinur Amangeldi,8,2.660000,0.400000,72.170000,75.940000,7.760000,18,23,2,13,3,0
Boris Egorov,8,3.570000,0.540000,105.260000,38.480000,9.720000,18,1,16,9,1,11
Sanzhar Kusainov,7,4.370000,0.500000,67.200000,74.810000,8.160000,16,2,1,11,0,2
Robert Matthew,4,1.010000,0.620000,64.720000,37.330000,9.260000,0,4,39,1,0,0
Tyler David,10,3.130000,0.760000,86.170000,71.450000,7.880000,2,20,61,7,2,10
George Donald,10,1.220000,0.550000,56.600000,54.220000,8.370000,20,7,36,6,0,1
Nikita Volkov,7,1.230000,0.490000,26.960000,88.620000,9.890000,3,3,37,4,2,3
Erasyl Sultanov,0,3.970000,0.470000,29.800000,71.610000,6.130000,20,23,16,3,1,10
Joshua Larry,9,1.460000,0.360000,36.410000,76.930000,4.790000,24,17,67,9,0,6
Igor Egorov,0,5.460000,0.690000,22.200000,57.870000,5.170000,22,19,62,12,1,0
Henry Ethan,5,1.270000,0.460000,79.020000,60.600000,5.190000,11,21,45,2,3,2
Ethan Jacob,10,1.550000,0.750000,104.150000,95.200000,8.450000,4,5,5,3,2,2
Aisultan Ibraev,2,5.010000,0.720000,42.590000,32.380000,5.830000,16,18,16,1,0,6
Thomas Samuel,7,1.760000,0.480000,32.480000,68.820000,6.840000,19,14,25,6,0,2
Boris Alekseev,0,5.420000,0.670000,17.190000,74.480000,8.740000,13,1,6,10,1,3
Erasyl Murat,5,1.960000,0.590000,72.560000,44.680000,7.760000,10,10,12,1,4,2
Lev Zakharov,9,2.780000,0.640000,65.510000,36.230000,7.570000,6,1,8,11,2,11
Leonid Pavlov,0,4.620000,0.290000,88.710000,62.070000,9.780000,20,4,36,13,4,1
Alexander Peter,2,0.990000,0.780000,102.300000,58.630000,4.330000,12,23,52,13,4,14
Nikita Pavlov,1,3.770000,0.680000,10.350000,58.490000,5.300000,23,22,29,7,2,0
Nikolai Popov,4,3.320000,0.750000,38.300000,39.390000,6.300000,0,9,43,6,0,7
Robert Dustin,3,2.960000,0.630000,25.160000,96.410000,6.280000,9,14,55,6,2,14
Ramazan Ibraev,8,3.890000,0.720000,31.350000,52.200000,6.450000,21,11,23,7,4,8
Alikhan Amangeldi,7,2.130000,0.380000,23.790000,75.890000,8.730000,0,12,11,4,1,1
Muslim Ibragimov,10,2.550000,0.400000,60.220000,67.530000,7.040000,1,7,13,0,4,9
Alikhan Murat,5,1.790000,0.800000,100.880000,68.310000,7.750000,0,0,53,0,0,0
Luka Pavlov,2,3.940000,0.560000,44.220000,50.680000,9.470000,2,13,49,11,3,12
Islam Omarov,1,5.090000,0.750000,59.650000,95.380000,6.960000,11,7,50,9,4,6
Ali Sultanov,5,5.110000,0.210000,41.400000,90.490000,6.180000,5,14,50,7,2,8
William Alexander,10,4.140000,0.520000,46.630000,53.840000,4.260000,13,4,20,5,1,12
Viktor Fedorov,9,4.040000,0.220000,24.250000,80.680000,6.140000,3,0,26,1,3,13
Ali Iskakov,3,3.820000,0.500000,54.370000,88.890000,9.320000,12,21,38,14,2,1
Dennis Ronald,2,0.700000,0.770000,94.070000,67.090000,8.100000,9,2,39,3,1,7
Richard Martin,7,1.450000,0.410000,108.330000,59.430000,9.710000,17,17,48,12,1,1
Nurislam Murat,7,1.590000,0.510000,81.830000,33.380000,9.510000,2,14,16,0,1,10
Sanzhar Ospanov,8,2.920000,0.260000,63.680000,67.050000,7.770000,4,18,6,12,1,3
Nikita Egorov,2,2.800000,0.410000,25.340000,34.950000,5.780000,18,23,20,13,4,8
Leonid Fedorov,2,4.170000,0.700000,100.540000,37.700000,7.060000,5,3,29,3,1,10
Nikolai Mikhaylov,6,4.200000,0.770000,74.250000,38.590000,7.420000,16,9,52,11,1,3
Yuri Alekseev,6,3.220000,0.380000,50.990000,80.070000,8.680000,19,14,58,11,0,5
Jerry Daniel,6,4.590000,0.460000,39.000000,44.050000,8.730000,21,23,21,10,1,10
Boris Mikhaylov,7,3.130000,0.740000,35.860000,96.040000,5.160000,22,24,58,7,1,5
Dennis Jack,7,4.620000,0.370000,25.760000,65.760000,5.830000,14,24,65,10,0,1
Luka Popov,10,3.320000,0.580000,79.260000,44.910000,4.980000,8,16,7,3,2,7
Nathan Nathan,2,3.310000,0.370000,38.680000,80.460000,9.700000,4,4,10,5,2,6
James Benjamin,3,2.000000,0.500000,52.970000,71.810000,6.680000,24,13,23,12,2,14
Mark Morozov,3,0.700000,0.440000,105.590000,51.840000,7.530000,18,5,50,10,3,7
Igor Nikolaev,6,5.460000,0.730000,44.190000,92.580000,4.070000,6,12,64,6,2,9
Ramazan Iskakov,7,5.450000,0.540000,91.360000,94.430000,5.790000,18,5,11,5,4,3
Aldiyar Omarov,9,3.510000,0.440000,105.270000,49.910000,5.170000,2,12,13,6,1,1
Aaron Aaron,0,0.980000,0.280000,108.070000,38.000000,8.650000,3,22,34,3,1,10
Erasyl Kusainov,9,1.990000,0.400000,37.230000,39.950000,4.870000,18,24,49,6,4,13
Yuri Zakharov,1,3.280000,0.740000,89.960000,52.330000,9.330000,9,20,52,14,3,13
Steven Thomas,1,1.640000,0.240000,65.650000,86.620000,5.950000,2,19,4,8,2,4
James Henry,9,3.280000,0.420000,16.350000,95.690000,5.630000,12,12,7,13,2,5
Sanzhar Serik,3,5.090000,0.650000,53.310000,68.290000,8.880000,14,22,5,10,2,3
Tyler Gary,8,5.430000,0.450000,63.740000,94.770000,9.830000,3,2,27,1,4,7
Robert Walter,10,3.960000,0.280000,56.980000,56.470000,6.680000,4,5,37,8,3,8
Valentin Nikitin,2,1.270000,0.680000,31.810000,47.330000,6.170000,8,2,65,13,3,10
Daniil Alekseev,4,2.200000,0.240000,15.710000,37.750000,4.760000,10,6,52,7,4,4
Amir Abdrakhmanov,8,4.620000,0.680000,72.600000,79.290000,5.610000,23,9,69,1,4,7
Alexander Aaron,8,3.920000,0.460000,22.200000,93.920000,6.050000,21,1,32,3,3,8
Nikolai Nikolaev,1,0.920000,0.770000,13.570000,94.470000,8.360000,24,24,44,6,2,0
Nikita Ivanov,1,5.300000,0.270000,66.570000,78.490000,6.210000,9,17,4,2,4,10
Leonid Andreev,8,4.740000,0.670000,107.220000,94.670000,6.580000,20,10,40,4,4,8
Ali Kaliyev,10,5.420000,0.240000,91.480000,56.620000,8.450000,2,12,64,3,4,2
Mikhail Nikolaev,10,0.540000,0.240000,40.370000,81.650000,5.780000,18,16,10,2,0,13
Paul Alexander,5,1.930000,0.240000,106.430000,82.420000,4.770000,16,20,47,7,4,0
Anatoly Andreev,10,2.510000,0.490000,36.400000,91.110000,8.830000,6,13,29,8,3,6
Ramazan Sultanov,10,3.990000,0.750000,94.590000,95.800000,5.470000,1,2,22,1,4,12
Ryan Martin,8,1.490000,0.380000,52.800000,74.550000,9.190000,14,9,19,6,2,8
Scott Jerry,10,1.360000,0.300000,80.750000,85.130000,9.670000,11,8,56,4,0,13
Valentin Lebedev,9,2.300000,0.710000,99.060000,37.940000,8.460000,0,13,0,9,3,7
Sanzhar Abdrakhmanov,7,3.440000,0.380000,98.980000,72.580000,6.580000,4,11,28,13,4,9
Edward Michael,1,4.140000,0.330000,81.410000,48.760000,5.360000,10,9,8,4,1,14
Muslim Smagulov,10,1.850000,0.260000,85.220000,64.500000,7.920000,7,8,20,10,0,5
William Paul,8,0.920000,0.450000,22.520000,53.720000,8.310000,24,1,46,2,2,2
Alexei Smirnov,5,3.380000,0.540000,15.470000,40.100000,5.000000,13,13,63,13,1,4
George Peter,9,0.820000,0.700000,55.670000,87.420000,4.470000,13,1,39,13,0,13
Alexei Ivanov,6,5.140000,0.660000,84.470000,93.210000,5.610000,5,24,47,9,2,13
George Kevin,9,0.760000,0.380000,57.980000,79.030000,6.610000,21,1,54,5,2,14
Aisultan Sadykov,7,4.070000,0.300000,62.890000,99.000000,4.690000,23,4,9,0,0,7
Viktor Semenov,9,2.500000,0.480000,20.880000,77.050000,6.320000,6,13,49,0,0,3
Omar Amangeldi,0,2.880000,0.660000,78.970000,69.170000,8.440000,11,5,26,14,3,0
Amir Suleimenov,6,0.900000,0.570000,58.870000,39.170000,6.190000,9,24,35,2,4,2
Daniil Andreev,7,3.850000,0.350000,69.920000,37.740000,4.150000,3,17,38,8,0,8
Ronald Ethan,3,3.440000,0.500000,17.170000,94.150000,4.040000,2,5,7,3,2,6
Matvey Smirnov,6,4.390000,0.680000,72.960000,63.340000,9.540000,6,9,1,0,3,2
Aisultan Aliev,3,4.130000,0.700000,34.390000,93.730000,4.610000,8,12,20,2,2,7
Arsen Smagulov,7,1.220000,0.210000,102.440000,60.370000,7.740000,16,6,69,3,2,2
Alinur Kusainov,3,1.960000,0.480000,61.910000,45.000000,6.450000,11,11,55,3,3,7
Yuri Petrov,4,4.840000,0.670000,87.340000,58.740000,9.150000,14,6,64,14,3,4
Viktor Makarov,6,1.830000,0.390000,39.760000,40.180000,8.580000,9,24,51,8,4,4
